JobIDRaw|JobName|Account|Partition|State|ExitCode|Elapsed|AllocCPUS|ReqMem|MaxRSS|Start|End
18291116|step12_hyphy_bivalvia|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:13:06|4|8G||2026-08-07T02:34:33|2026-08-07T02:47:39
18291117|step12_hyphy_bivalvia|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:00:00|4|8G||2026-08-07T02:34:33|2026-08-07T02:34:33
18291164|step12_hyphy_bivalvia|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:00:01|4|8G||2026-08-07T02:39:33|2026-08-07T02:39:34
18291217|step12_hyphy_bivalvia|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:11:13|4|8G||2026-08-07T02:44:33|2026-08-07T02:55:46
18291262|step12_hyphy_bivalvia|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|01:17:02|4|8G||2026-08-07T02:49:34|2026-08-07T04:06:36
18291354|step12_hyphy_bivalvia|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:24:59|4|8G||2026-08-07T02:59:34|2026-08-07T03:24:33
18291589|step12_hyphy_bivalvia|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:14:43|4|8G||2026-08-07T03:24:36|2026-08-07T03:39:19
18291590|step12_hyphy_bivalvia|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:16:21|4|8G||2026-08-07T03:24:36|2026-08-07T03:40:57
18291735|step12_hyphy_bivalvia|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:11:24|4|8G||2026-08-07T03:39:37|2026-08-07T03:51:01
18290239|step12_hyphy_bivalvia|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:08:59|4|8G||2026-08-07T03:44:37|2026-08-07T03:53:36
18290246|step12_hyphy_gastropoda|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:00:00|4|8G||2026-08-07T01:09:28|2026-08-07T01:09:28
18290247|step12_hyphy_gastropoda|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:00:18|4|8G||2026-08-07T01:09:28|2026-08-07T01:09:46
18290248|step12_hyphy_gastropoda|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:13:25|4|8G||2026-08-07T01:09:28|2026-08-07T01:22:53
18290298|step12_hyphy_gastropoda|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:23:57|4|8G||2026-08-07T01:14:28|2026-08-07T01:38:25
18290299|step12_hyphy_gastropoda|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:00:02|4|8G||2026-08-07T01:14:28|2026-08-07T01:14:30
18290358|step12_hyphy_gastropoda|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:00:00|4|8G||2026-08-07T01:19:28|2026-08-07T01:19:28
18290411|step12_hyphy_gastropoda|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:21:03|4|8G||2026-08-07T01:24:28|2026-08-07T01:45:31
18290412|step12_hyphy_gastropoda|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:00:03|4|8G||2026-08-07T01:24:28|2026-08-07T01:24:31
18290468|step12_hyphy_gastropoda|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:00:07|4|8G||2026-08-07T01:29:29|2026-08-07T01:29:36
18290525|step12_hyphy_gastropoda|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:07:22|4|8G||2026-08-07T01:34:29|2026-08-07T01:41:51
18290575|step12_hyphy_gastropoda|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:44:39|4|8G||2026-08-07T01:39:29|2026-08-07T02:24:08
